End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Cold Storage Warehouses,HCFO-1233zd(E),Solstice® 1233zd(E),N,<0.0004,3.7,A1,"January 20, 2022",Acceptable,
Ice Skating Rinks,HCFO-1233zd(E),Solstice® 1233zd(E),N,<0.0004,3.7,A1,"January 20, 2022",Acceptable,
Industrial Process Air Conditioning,HCFO-1233zd(E),Solstice® 1233zd(E),N,<0.0004,3.7,A1,"January 20, 2022",Acceptable,
Centrifugal Chillers,R-1224yd(Z),AMOLEA® yd,R/N,0.00012,1,A1,"November 25, 2019",Acceptable,
Centrifugal Chillers,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-1270 (Propylene),,N,0,1.8,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Centrifugal Chillers,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit for human-rated spacecraft and related support equipment, as of January 1, 2024.",
Centrifugal Chillers,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Positive Displacement Chillers,HFC-32,,N,0,675,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Positive Displacement Chillers,HFO-1234yf, ,N,0,<4,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Positive Displacement Chillers,R-452B,Opteon™ XL55,N,0,698,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Positive Displacement Chillers,R-454A,Opteon™ XL40,N,0,240,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Positive Displacement Chillers,R-454B,Opteon™ XL41,N,0,466,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Positive Displacement Chillers,R-454C,Opteon™ XL20,N,0,148,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Industrial Process Air Conditioning,HFC-32, ,N,0,675,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Industrial Process Air Conditioning,HFO-1234yf, ,N,0,<4,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Industrial Process Air Conditioning,R-452B,Opteon™ XL55,N,0,698,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Industrial Process Air Conditioning,R-454A,Opteon™ XL40,N,0,240,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions., 
Industrial Process Air Conditioning,R-454B,Opteon™ XL41,N,0,466,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Industrial Process Air Conditioning,R-454C,Opteon™ XL20,N,0,148,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Cold Storage Warehouses,R-471A,Solstice® N71,N,0,144,A1,"September 8, 2023; December 11, 2024",Acceptable,
Cold Storage Warehouses,R-515B,Solstice® N15,N,0,287,A1,"September 8, 2023",Acceptable,
Commerical Ice Machines,R-515B,Solstice® N15,N,0,287,A1,"September 8, 2023",Acceptable,
Industrial Process Refrigeration,R-471A,Solstice® N71,R/N,0,144,A1,"September 8, 2023; December 11, 2024",Acceptable,
Household Refrigerators and Freezers,R-290 (Propane),,N,0,3,A3,"April 10, 2015; August 8, 2018",Acceptable with Use Conditions: See rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,HFC-32,,N,0,675,A2L,"April 10, 2015; May 6, 2021; April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Household Refrigerators and Freezers,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"August 21, 2003; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Vending Machines,R-404A,HP-62,R/N,0,"3,920",A1,"August 26, 1994; December 20, 2002; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new equipment as of January 1, 2019.",
Refrigerated Transport,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; January 2, 2009",Acceptable,
Remote Condensing Units,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; January 2, 2009",Acceptable,
Supermarket Systems,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; January 2, 2009",Acceptable,
Cold Storage Warehouses,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; January 2, 2009; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Refrigerated Food Processing and Dispensing Equipment,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; January 2, 2009; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; January 2, 2009; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Commerical Ice Machines,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; June 16, 2010",Acceptable,
Commerical Ice Machines,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010",Acceptable,
Ice Skating Rinks,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; June 16, 2010",Acceptable,
Ice Skating Rinks,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"August 26, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010",Acceptable,
Refrigerated Transport,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010",Acceptable,
Cold Storage Warehouses,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Refrigerated Food Processing and Dispensing Equipment,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Remote Condensing Units,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new equipment as of January 1, 2018.",
Stand-Alone Equipment,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Supermarket Systems,R-407B,Klea 61,R/N,0,"2,800",A1,"August 26, 1994; June 16, 2010; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016.
• new equipment as of January 1, 2017.",
Centrifugal Chillers,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; December 1, 2016","Unacceptable, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Household Refrigerators and Freezers,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Household Refrigerators and Freezers,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Household Refrigerators and Freezers,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Originally listed under reciprocating chillers only. 
Stand-Alone Equipment,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000; July 20, 2015","Unacceptable in:
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.",
Stand-Alone Equipment,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000; July 20, 2015","Unacceptable in:
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.",
Vending Machines,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Vending Machines,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Cold Storage Warehouses,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010",Acceptable,
Industrial Process Refrigeration,HFE-7100,,N,0,297,A1,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Industrial Process Refrigeration,HFE-7200,,N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Non-Mechanical Heat Transfer Systems,HFE-7200,,R/N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Refrigerated Food Processing and Dispensing Equipment,HFE-7100,,N,0,297,A1,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Refrigerated Food Processing and Dispensing Equipment,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010",Acceptable,
Refrigerated Transport,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010",Acceptable,
Remote Condensing Units,HFE-7100,,N,0,297,A1,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Remote Condensing Units,HFE-7200,,N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Remote Condensing Units,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010",Acceptable,
Stand-Alone Equipment,HFE-7100,,N,0,297,A1,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Stand-Alone Equipment,HFE-7200,,N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Supermarket Systems,HFE-7100,,N,0,297,A1,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Supermarket Systems,HFE-7200,,N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Supermarket Systems,HFE-7200,,N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Supermarket Systems,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010",Acceptable,
Very Low Temperature Refrigeration Systems,HFE-7100,,N,0,297,A1,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Very Low Temperature Refrigeration Systems,HFE-7200,,N,0,59,N/A,"December 18, 2000; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Water Coolers,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010",Acceptable,
Positive Displacement Chillers,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Stand-Alone Equipment,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010; July 20, 2015","Unacceptable in:
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.",
Vending Machines,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; June 16, 2010; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000; May 23, 2001; July 20, 2015",Unacceptable as of MY 2017. Detailed conditions apply - see notice; use of new fittings for small refrigerant cans required.,
Industrial Process Air Conditioning,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"December 20, 2002; August 21, 2003",Acceptable,
Non-Mechanical Heat Transfer Systems,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"December 20, 2002; August 21, 2003",Acceptable,
Centrifugal Chillers,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010; December 1, 2016","Unacceptable, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Household Refrigerators and Freezers,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit for human-rated spacecraft and related support equipment, as of January 1, 2024.",Not originally listed under scroll chillers.
Cold Storage Warehouses,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Commerical Ice Machines,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Ice Skating Rinks,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Industrial Process Air Conditioning,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Industrial Process Refrigeration,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Refrigerated Transport,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Remote Condensing Units,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Residential Dehumidifiers,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Supermarket Systems,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Water Coolers,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010",Acceptable,
Stand-Alone Equipment,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010; July 20, 2015","Unacceptable in:
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.",
Vending Machines,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002; June 16, 2010; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Very Low Temperature Refrigeration Systems,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"December 20, 2002; October 4, 2011",Acceptable,
Household Refrigerators and Freezers,R-441A,HCR-188C,N,0,<5,A3,"December 20, 2011; August 8, 2018",Acceptable with Use Conditions: See rule for detailed conditions.,
Household Refrigerators and Freezers,R-600a (Isobutane),,N,0,3,A3,"December 20, 2011; August 8, 2018",Acceptable with Use Conditions: See rule for detailed conditions.,
Centrifugal Chillers,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Household Refrigerators and Freezers,THR-03,,R/N,0,N/A,A1,"December 6, 1999; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,THR-03,,R/N,0,N/A,A1,"December 6, 1999; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Originally listed under reciprocating chillers only. 
Industrial Process Refrigeration,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 18, 2000; December 20, 2002; June 16, 2010",Acceptable,
Commerical Ice Machines,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Ice Skating Rinks,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Industrial Process Air Conditioning,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Refrigerated Transport,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Remote Condensing Units,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Supermarket Systems,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Water Coolers,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010",Acceptable,
Cold Storage Warehouses,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Refrigerated Food Processing and Dispensing Equipment,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; December 20, 2002; June 16, 2010; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Stand-Alone Equipment,THR-03,,R/N,0,N/A,A1,"December 6, 1999; July 20, 2015","Unacceptable in:
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.",
Non-Mechanical Heat Transfer Systems,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; June 16, 2010",Acceptable,
Refrigerated Transport,Cryogenic Transport Refrigeration System,,N,0,0,A1,"December 6, 1999; June 16, 2010",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; June 16, 2010",Acceptable,
Centrifugal Chillers,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Household Refrigerators and Freezers,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Vending Machines,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"December 6, 1999; June 16, 2010; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Cold Storage Warehouses,R-410B,,N,0,"2,230",A1,"February 2, 1996; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Centrifugal Chillers,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Household Refrigerators and Freezers,R-410B,,N,0,"2,230",A1,"February 8, 1996; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Commerical Ice Machines,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Ice Skating Rinks,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Industrial Process Air Conditioning,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Industrial Process Refrigeration,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Refrigerated Transport,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Remote Condensing Units,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Residential Dehumidifiers,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Supermarket Systems,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Very Low Temperature Refrigeration Systems,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002",Acceptable,
Very Low Temperature Refrigeration Systems,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Water Coolers,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002",Acceptable,
Cold Storage Warehouses,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Commerical Ice Machines,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Ice Skating Rinks,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Industrial Process Refrigeration,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Refrigerated Transport,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Remote Condensing Units,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Residential Dehumidifiers,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Stand-Alone Equipment,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Supermarket Systems,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Water Coolers,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003",Acceptable,
Household Refrigerators and Freezers,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Vending Machines,R-407C,"Suva 407C, Klea 407C",R/N,0,"1,770",A1,"February 8, 1996; December 20, 2002; August 21, 2003; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Centrifugal Chillers,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
